# ANA B787 AOM PI.20.26  Flap Maneuver Speed  /  Sea Level Pressure Altitude
"# Effect. DEC 16, 2024  Rev.34   All Engines   speeds in KIAS"
# Flaps 25 maneuver speed based on VREF25 / Flaps 30 maneuver speed based on VREF30
# NOTE: 787-10 shows UP=234 at BOTH 440 and 420 (as printed; verify against original)
VARIANT,WEIGHT_1000LB,FLAP,KIAS
787-8/TRENT1000-AE,480,UP,242
787-8/TRENT1000-AE,480,1,222
787-8/TRENT1000-AE,480,5,202
787-8/TRENT1000-AE,480,15,177
787-8/TRENT1000-AE,480,20,177
787-8/TRENT1000-AE,480,25,165
787-8/TRENT1000-AE,480,30,162
787-8/TRENT1000-AE,460,UP,238
787-8/TRENT1000-AE,460,1,218
787-8/TRENT1000-AE,460,5,198
787-8/TRENT1000-AE,460,15,176
787-8/TRENT1000-AE,460,20,176
787-8/TRENT1000-AE,460,25,161
787-8/TRENT1000-AE,460,30,158
787-8/TRENT1000-AE,440,UP,235
787-8/TRENT1000-AE,440,1,214
787-8/TRENT1000-AE,440,5,195
787-8/TRENT1000-AE,440,15,175
787-8/TRENT1000-AE,440,20,175
787-8/TRENT1000-AE,440,25,158
787-8/TRENT1000-AE,440,30,155
787-8/TRENT1000-AE,420,UP,231
787-8/TRENT1000-AE,420,1,209
787-8/TRENT1000-AE,420,5,191
787-8/TRENT1000-AE,420,15,171
787-8/TRENT1000-AE,420,20,171
787-8/TRENT1000-AE,420,25,154
787-8/TRENT1000-AE,420,30,151
787-8/TRENT1000-AE,400,UP,227
787-8/TRENT1000-AE,400,1,204
787-8/TRENT1000-AE,400,5,187
787-8/TRENT1000-AE,400,15,167
787-8/TRENT1000-AE,400,20,167
787-8/TRENT1000-AE,400,25,150
787-8/TRENT1000-AE,400,30,147
787-8/TRENT1000-AE,380,UP,223
787-8/TRENT1000-AE,380,1,199
787-8/TRENT1000-AE,380,5,183
787-8/TRENT1000-AE,380,15,163
787-8/TRENT1000-AE,380,20,163
787-8/TRENT1000-AE,380,25,146
787-8/TRENT1000-AE,380,30,143
787-8/TRENT1000-AE,360,UP,221
787-8/TRENT1000-AE,360,1,196
787-8/TRENT1000-AE,360,5,181
